Major,Year,School,Enrollment
Slavic Studies,2015,Morrissey College of Arts and Sciences,4
Linguistics,2016,Morrissey College of Arts and Sciences,32
Neuroscience,2016,Morrissey College of Arts and Sciences,
Russian,2016,Morrissey College of Arts and Sciences,1
Slavic Studies,2016,Morrissey College of Arts and Sciences,3
Geological Sci./Environmental Geosciences,2017,Morrissey College of Arts and Sciences,
Linguistics,2017,Morrissey College of Arts and Sciences,20
Neuroscience,2017,Morrissey College of Arts and Sciences,
Russian,2017,Morrissey College of Arts and Sciences,1
Slavic Studies,2017,Morrissey College of Arts and Sciences,4
Geological Sci./Environmental Geosciences,2018,Morrissey College of Arts and Sciences,
Linguistics,2018,Morrissey College of Arts and Sciences,18
Neuroscience,2018,Morrissey College of Arts and Sciences,
Russian,2018,Morrissey College of Arts and Sciences,4
Slavic Studies,2018,Morrissey College of Arts and Sciences,2
Art History,2019,Morrissey College of Arts and Sciences,23
Biochemistry,2019,Morrissey College of Arts and Sciences,258
Biology,2019,Morrissey College of Arts and Sciences,936
Chemistry,2019,Morrissey College of Arts and Sciences,115
Classics,2019,Morrissey College of Arts and Sciences,24
Communication,2019,Morrissey College of Arts and Sciences,678
Computer Science,2019,Morrissey College of Arts and Sciences,452
Economics,2019,Morrissey College of Arts and Sciences,1042
English,2019,Morrissey College of Arts and Sciences,394
Environmental Geosciences,2019,Morrissey College of Arts and Sciences,40
Environmental Studies,2019,Morrissey College of Arts and Sciences,67
Film Studies,2019,Morrissey College of Arts and Sciences,42
French,2019,Morrissey College of Arts and Sciences,13
Geological Sci./Environmental Geosciences,2019,Morrissey College of Arts and Sciences,
Geological Sciences,2019,Morrissey College of Arts and Sciences,3
German,2019,Morrissey College of Arts and Sciences,4
Hispanic Studies,2019,Morrissey College of Arts and Sciences,21
History,2019,Morrissey College of Arts and Sciences,238
Independent,2019,Morrissey College of Arts and Sciences,1
International Studies,2019,Morrissey College of Arts and Sciences,261
Islamic Civilization & Societies,2019,Morrissey College of Arts and Sciences,15
Italian,2019,Morrissey College of Arts and Sciences,3
Linguistics,2019,Morrissey College of Arts and Sciences,19
Mathematics,2019,Morrissey College of Arts and Sciences,332
Music,2019,Morrissey College of Arts and Sciences,23
Neuroscience,2019,Morrissey College of Arts and Sciences,97
Philosophy,2019,Morrissey College of Arts and Sciences,209
Physics,2019,Morrissey College of Arts and Sciences,79
Political Science,2019,Morrissey College of Arts and Sciences,867
Psychology,2019,Morrissey College of Arts and Sciences,470
Russian,2019,Morrissey College of Arts and Sciences,5
Slavic Studies,2019,Morrissey College of Arts and Sciences,1
Sociology,2019,Morrissey College of Arts and Sciences,173
Studio Art,2019,Morrissey College of Arts and Sciences,24
Theatre,2019,Morrissey College of Arts and Sciences,41
Theology,2019,Morrissey College of Arts and Sciences,37
